Winery,Address,City,Website,Phone,NWP,App,Cave,Tours,Notes/Labels,,,,,,,,
Vineyard 29,2929 St. Helena Highway N,St. Helena,www.vineyard29.com,963-9292,X,Yes,Yes,BApp,"Aida Label, Purchasd Claire Luce Abbey",,,,,,,,
Vineyard 7 & 8,4028 Spring Mountain Rd.,St. Helena,www.vineyard7and8.com,963-9425,X,Yes,,,,,,,,,,,
Vineyard 511,,,www.vineyard511.com,,,,,,,,,,,,,,
Vineyardist Wines,263 Petrified Forest,Calistoga,www.vineyardistwines.com,942-0120,X,Private,,,,,,,,,,,
Vino Family Vineyards,P.O. Box 269,St. Helena,www.vinofamily.com,227-8866,,Private,,,,,,,,,,,
Vinoce,P.O. Box 324,Oakville,www.vinoce.com,944-8717,X,Private,,,"VC, Twenty Rows, Elevensance, TR Napa",,,,,,,,
Vino D'Angelo,2426 Christie Court,Napa,www.vinodangelo.com,738-0498,,Private,,,,,,,,,,,
Vinum Cellars,135 Camino Dorado Ste. 6,Napa,www.vinumcellars.com,254-8313,X,Private,,,NAPA WINE CO,,,,,,,,
Virage Napa Valley,,Napa,www.viragenapavalley.com,963-2588,X,Private,,,,,,,,,,,
Viviani Vineyards,2800 Jefferson Street,Napa,www.viviani.com,265-1940,,Private,,,,,,,,,,,
Vitus Napa Valley,,Napa,www.vitusnapavalley.com,446-8133,,Private,,,"Brenda: 416-7421, wine made in napa??",,,,,,,,
Voces,P.O. Box 687,Calistoga,www.undertheradarwine.com/voces.html,225-2474,X,Private,,,,,,,,,,,
Volcan Cellars,,,www.volcancellars.com,,,Yes,,,,,,,,,,,
Volker Eisele Family Estate,3080 Lower Chiles Valley,St. Helena,www.volkereiselefamilyestate.com,965-9485,X,Yes,,BApp,,,,,,,,,
Volta Wine,,Angwin,www.voltawine.com,889-4576,,Private,,,www.lifewines.com,,,,,,,,
Von Strasser,1520 Diamond Mountain Rd,Calistoga,www.vonstrasser.com,942-0930,X,Yes,Yes,BApp,,,,,,,,,
Voss Vineyards,1862 El Centro Ave,Napa,www.vossvineyards.com,259-0993,,Private,,,,,,,,,,,
W Winery,3260 Villa Lane,Napa,,259-2811,,Private,,,"Pinot Noir, Carneros",,,,,,,,
W.H. Smith Wines,1181 Las Posadas Road,Angwin,www.whsmithwines.com,965-9726,X,Private,Yes,,Was Piedra Hill,,,,,,,,
Wallis Estate,1670 Diamond Mountain Rd,Calistoga,www.wallisestate.com,877 463-8008,,Private,,,,,,,,,,,
Waterfront Cellars,,,www.waterfrontcellars.com,,,Private,,,# Wine made in Son? On the way out?,,,,,,,,
Watermark Wine,1478 Fairway Vista Court,Calistoga,www.watermarkwine.com,942-1734,X,Private,,,"DOZEN VINTNERS, Stonewriter",,,,,,,,
Waterstone Winery,P.O. Box 6979,Napa,www.waterstonewines.com,265-8523,X,Yes,,,Taste of Oxbow Tasting Room,,,,,,,,
Waugh Cellars,P.O. Box 3746,Napa,www.waughcellars.com,888 883-9463,X,Private,Yes,,Six Degrees Wine,,,,,,,,
Wermuth Winery,3942 Silverado Trail,Calistoga,,942-5924,X,No,No,No,No website,,,,,,,,
Wharton Wines,P.O. Box 2291,Yountville,www.whartonwines.com,287-7967,,Private,,,Not all Napa fruit,,,,,,,,
Whetstone wine Cellars,1130 Main Street,Napa,www.whetstonewinecellars.com,254-0600,X,Yes,,,Taste at Ubuntu Annex,,,,,,,,
Whiskey River Ranch,,,www.whiskyriverranch.com,,,,,,,,,,,,,,
White Cottage Ranch,555 College Ave,Angwin,www.whitecottageranch.com,965-0516,X,Yes,,BApp,Site disabled 4.10.13 Fairchild Winery?,,,,,,,,
White Rock Vineyards,1115 Loma Vista Dr,Napa,www.whiterockvineyards.com,257-7922,X,Yes,Yes,No,Madigan = 2nd label,,,,,,,,
Whitehall Lane,1563 St. Helena Hwy,St. Helena,www.whitehalllane.com,800 963-9454,X,No,,Yes,Leonardini Family Winery,,,,,,,,
Wicker Vineyards,P.O. Box 18,Rutherford,www.wickervineyards.com,963-2251,X,Private,,,,,,,,,,,
William Cole Vineyards,2849 St. Helena Highway N,,www.williamcolevineyards.com,963-6100,X,Yes,,,,,,,,,,,
William Harrison,1443 Silverado Trail,St. Helena,www.whwines.com,963-8762,X,No,,Yes,,,,,,,,,
William Hill Estate,1761 Atlas Peak Road,Napa,www.williamhillestate.com,224-4477,X,Yes,,BApp,,,,,,,,,
Wilson & Wilson,,,www.wilsonandwilsonwine.com,,X,,,,,,,,,,,,
Wing Canyon Vineyard,3100 Mt. Veeder Road,Napa,www.wingcanyonvineyard.com,265-8798,X,Yes,,,,,,,,,,,
Winter Wine,1750 Dean York Lane,St. Helena,www.truewinter.com,967-9771,,Private,,,,,,,,,,,
Wise Acre Vineyard,,St. Helena,www.wiseacrevineyard.com,,X,Private,,,,,,,,,,,
Wolf Family Vineyards,3701 Sacramento St #366,SF,www.wolffamilyvineyards.com,963-6042,X,Private,,,,,,,,,,,
Work Vineyard,3190 Highway 128,Calistoga,www.workvineyard.com,942-0251,,Private,,,,,,,,,,,
X Winery,1405 2nd Street ,Napa,www.xwinery.com,204-9522x9,X,Yes,,,Amicus Cellars,,,,,,,,
XTANT Wines,P.O. Box 2430,Napa,www.xtantwines.com,224-7844,X,Private,,,,,,,,,,,
Yao Family Wines,P.O. Box 111,Napa,www.yaofamilywines.com,968-7470,,Private,,,,,,,,,,,
Yates Family,4723 Redwood Road,Napa,www.yatesfamilyvineyard.com,226-1800,X,Private,,,Used to be Napa Redwoods Estate,,,,,,,,
Young Inglewood,,,www.younginglewood.com,,,Yes,,,,,,,,,,,
York Creek,3601 Langtry Road,St. Helena,www.yorkcreek.com,415 522-1928,X,Yes,,,"# Winery in San Francisco, Spring Mtn V.",,,,,,,,
Young Ridge,945 Lincoln Ave,Napa,www.youngridge.com,265-8400,,Private,,,,,,,,,,,
Y Rousseau Wines,902 Enterprise Way,Napa,www.yrousseauwines.com,287-3471,X,Private,,No,"Mt. Veeder wine, also non Napa wines",,,,,,,,
Z52 Wines,P.O. Box 6979,St. Helena,www.z52wines.com,265-8523,X,Private,,,"Owners of Waterstone, & 3 other labels",,,,,,,,
Zacherle Wines,1516 Harley Street,Calistoga,www.zacherlewines.com,942-4631,X,No,,,,,,,,,,,
Zathila Vineyards,2250 Lake County Hwy,Calistoga,www.zahtilavineyards.com,942-9251,X,Yes,,,,,,,,,,,
Zeitgeist Cellars,P.O. Box 552,St. Helena,www.zeitgeistcellars.com,963-9017,X,Private,,,,,,,,,,,
Ziata Wines,P.O. Box 407,Calistoga,www.ziatawines.com,888 942-2008,X,Private,,,Karen,,,,,,,,
ZD Winery,8383 Silverado Trail,Napa,www.zdwines.com,963-5188,X,No,,BApp,Abacus label,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"The following locations offer tasting experiences. They are collectives, wine bars or wine shops. Most do not make their own wine but some do.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Business,Address,City,Website,Phone,NWP,App,Cave,Tours,Notes/Labels,,,,,,,,
1313 Main,1313 Main Street,Napa,www.1313main.com,226-7671,X,No,,No,Wine Shop,,,,,,,,
750 Wines,1224 Adams Street,St. Helena,www.750wines.com,963-0750,X,Yes,,No,App only wine shop & salon,,,,,,,,
A Dozen Vintners,3000 St. Helena Highway N ,St. Helena,www.adozenvintners.com,226-9991,X,No,,No,"Collective, see end of list for labels",,,,,,,,
Acme Fine Wines,1080 Fulton Lane,St. Helena,www.acmefinewines.com,963-0440,X,No,,No,Wine Shop,,,,,,,,
Backroom Wines,"1000 Main Street, Shop 120",Napa,www.backroomwines.com,226-1378,X,No,,No,Wine Shop,,,,,,,,
Bounty Hunter,975 First Street,Napa,www.bountyhunterwine.com,252-5454,X,No,Listed above b/c make own wine,,"Pursuit, Br. Spur, WayPt, TinSt, Justice",,,,,,,,
Calistoga Wine Stop,1458 Lincoln Ave #2,Calistoga,www.calistogawinestop.net,942-5556,X,No,,No,Wine Shop,,,,,,,,
Groezingers Wine Shop,6484 Washington Street,Yountville,www.groezingers.com,944-2331,X,No,,No,Wine Shop,,,,,,,,
M(a)isonry,6711 Washington Street,Yountville,www.maisonry.com,944-0889,X,Yes,,No,"Collective, own label is Blackbird",,,,,,,,
Mark Herold Wines,710 First Street,Napa,www.heroldwines.com,256-3111,X,No,,No,Napa winery but mostly non Napa fruit,,,,,,,,
Naked Wines,,Napa,,,,,,,,,,,,,,,
Napa General Store,540 Main Street,Napa,www.napageneralstore.com,259-0762,X,No,,No,Wine Bar,,,,,,,,
Napa Smith,1 Executive Way,Napa,www.napasmithbrewery.com,255-2912,X,No,,Yes,Beer & Wine Tasting,,,,,,,,
Oxbow Wine Merchants,610 First Street,Napa,www.fpwm.com,257-5200,X,No,,No,Wine Bar,,,,,,,,
Salon St. Helena,1118 Hunt Street,St. Helena,www.salonsthelena.com,963-3193,X,Yes,,No,Harris Estate & Jones Family,,,,,,,,
Square One,1331 First Street,Napa,www.napatouristinfo.com,252-1000,X,No,,No,,,,,,,,,
St. Helena Wine Center,1321 Main Street,St. Helena,www.shwc.com,963-1313,X,No,,No,Wine Shop,,,,,,,,
Uncorked at Oxbow,605 First Street,Napa,www.uncorked-at-oxbow.com,927-5864,X,No,,No,"Tasting Room, Ahnfeldt & Carducci labels",,,,,,,,
V Wine Cellars,6525 Washington Street,Yountville,www.vwinecellar.com,531-7053,X,No,,No,Wine Shop,,,,,,,,
Vintner's Collective,1245 Main St,Napa,www.vintnerscollective.com,255-7150,X,No,,No,"Collective, own label is Las Bonitas",,,,,,,,
Tank Garage,1020 Foothill Blvd #C,Calistoga,www.winegarage.net,942-5332,X,No,,No,Coming Soon,,,,,,,,
Yountville Tasting Station,6505 Washington Street,Yountville,No specific website,255-4665,X,No,,No,Cornerstone & Page Cellars,,,,,,,,
,,,,,,,,,,,,,,,,,
Collectives,,,,,,,,,,,,,,,,,
"A Dozen Vintners (No wine made themselvesm, ONLY Napa producers listed)",,,,,,,,,X in NWP column above means,,,,,,,,
"Adams Ridge, Carrefour, Eagle & Rose, Gridley, Howell Mountain, Krupp, Rubbisow, RustRidge, Tristant, Watermark",,,,,,,,,we have personally visited &,,,,,,,,
,,,,,,,,,tasted with a representative from,,,,,,,,
Ma(i)sonry (own label is Blackbird - ONLY Napa producers listed here),,,,,,,,,that winery,,,,,,,,
"Blackbird, Capture, Casa Piena, Husic, Juslyn, Entres Nous, Lail Vineyards, Pedras Wine Co",,,,,,,,,,,,,,,,,
"Pott, Renteria, RH Harrison, Rivera, TOR Kenward (also has several non Napa labels)",,,,,,,,,# in Notes column above,,,,,,,,
,,,,,,,,,indicates wine is made outside,,,,,,,,
"Napa Wine Co (own labels are Ghost Block, Elizabeth Rose, Oakville Winery & Napa Wine co)",,,,,,,,,"of Napa, but sources fruit or has",,,,,,,,
"Adastra, Blackbird, Bridesmaid, Crocker & Starr, Downing, Elizabeth Rose, Eponymous, Ghost Block, Hoopes, Switzer",,,,,,,,,vineyards within the county,,,,,,,,
"William Knuttel, Lamborn Family, Laraine, Liparita, Marilyn Merlot, Mason, Mirror, Napa Wine Co, Oakville Winery, Ottimino",,,,,,,,,,,,,,,,,
"Pahlmeyer, Pavi, Michael Pozzan, TB Wines, Uvada, Vinum, Volker Eisele, Voss, Jelly Jar",,,,,,,,,Note: If a winery has two,,,,,,,,
,,,,,,,,,physical bonded locations ,,,,,,,,
"Silenus Vintners (own label is Ideology Cellars, ONLY Napa producers listed)",,,,,,,,,"within Napa, we list both",,,,,,,,
"B Cellars, Due Vigne di famiglia, Gridley, Ideology, Maple Lane,  Matthiasson, Venge",,,,,,,,,locations in the above list,,,,,,,,
,,,,,,,,,,,,,,,,,
"Vintner's Collective (own label is Las Bonitas, ONLY Napa producers listed)",,,,,,,,,Note: If a winery is based in Napa,,,,,,,,
"Ancien, Azur, Buoncristiani, Clark-Claudon, D Cubed, Gregory Graham, Krupp, Lamborn, Longfellow, Melka",,,,,,,,,"but doesn't use Napa vineyards,",,,,,,,,
"Mi Sueno, Parallel, Phelan, Richard Perry, Roy, Tournesol, Vinoce",,,,,,,,,we do not list them here.,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,NOT YET VISITED WINERIES,,,,,,,,
Totals,,,,,,,,,Can you get us a tasting at any,,,,,,,,
There are 991 active commercial wine producers listed above. Subtract 23 producers who use,,,,,,,,,of the wineries listed above,,,,,,,,
Napa fruit but make wine outside of Napa. Total Napa commercial wine producers = 968.,,,,,,,,,without an X in the NWP,,,,,,,,
Note: This total is an approximation. The number of unique Napa commercial wine producers ,,,,,,,,,column? Email dave@pon.net ,,,,,,,,
is definetely more than this - these are the ones we are aware of through our very extensive ,,,,,,,,,,,,,,,,,
and often updated research. ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
More info? Visit: www.napawineproject.com,,or ,www.napawineproject.com/project-notes/index.asp,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
